=== PYTHON DEPENDENCIES ===
## Found Python dependencies in: /project/infra/requirements.txt

License information:
 Name                               Version      License                              
 attrs                              26.1.0       MIT                                  
 aws-cdk-lib                        2.261.0      Apache-2.0                           
 aws-cdk.asset-awscli-v1            2.2.282      Apache-2.0                           
 aws-cdk.asset-node-proxy-agent-v6  2.1.2        Apache-2.0                           
 aws-cdk.cloud-assembly-schema      54.11.0      Apache-2.0                           
 cattrs                             26.1.0       MIT License                          
 constructs                         10.6.0       Apache-2.0                           
 jsii                               1.138.0      Apache Software License              
 publication                        0.0.3        MIT License                          
 python-dateutil                    2.9.0.post0  Apache Software License; BSD License 
 six                                1.17.0       MIT License                          
 typeguard                          2.13.3       MIT License                          
 typing_extensions                  4.16.0       PSF-2.0                              
